ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
97,Brian Stablein,IND,26,WR,1996,16,0,35,18,51.40%,192,10.7,1,11,42.9,30,5.5,1.1,12,0,StabBr00
98,J.J. Stokes,SFO,24,WR,1996,6,6,39,18,46.20%,249,13.8,0,0,0,40,6.4,3,41.5,0,StokJ.00
99,Bill Brooks,WAS,32,WR,1996,16,2,32,17,53.10%,224,13.2,0,14,46.9,31,7,1.1,14,0,BrooBi00
100,Danan Hughes,KAN,26,WR,1996,15,2,33,17,51.50%,167,9.8,1,11,45.5,26,5.1,1.1,11.1,0,HughDa00
101,Alex Van Dyke,NYJ,22,WR,1996,15,1,43,17,39.50%,118,6.9,1,7,30.2,12,2.7,1.1,7.9,0,VanDAl00
102,Mike Sherrard,DEN,33,WR,1996,15,0,28,16,57.10%,185,11.6,1,11,42.9,25,6.6,1.1,12.3,0,SherMi00
103,Rod Smith,DEN,26,WR,1996,10,1,28,16,57.10%,237,14.8,2,10,50,49,8.5,1.6,23.7,1,SmitRo01
104,Lee DeRamus,NOR,24,WR,1996,15,4,42,15,35.70%,182,12.1,1,7,28.6,28,4.3,1,12.1,0,DeRaLe00
105,Jermaine Ross,STL,25,WR,1996,15,0,28,15,53.60%,160,10.7,0,7,46.4,28,5.7,1,10.7,0,RossJe00
106,Calvin Williams,2TM,29,WR,1996,8,2,23,15,65.20%,93,6.2,1,0,0,19,4,1.9,11.6,0,WillCa00
107,Desmond Howard,GNB,26,WR,1996,16,0,23,13,56.50%,95,7.3,0,5,26.1,12,4.1,0.8,5.9,2,HowaDe00
108,Rocket Ismail,CAR,27,WR,1996,13,5,33,12,36.40%,214,17.8,0,0,0,51,6.5,0.9,16.5,0,IsmaRa00
109,Yancey Thigpen,PIT,27,WR,1996,6,2,25,12,48.00%,244,20.3,2,9,44,39,9.8,2,40.7,0,ThigYa00
110,Malcolm Floyd,HOU,24,WR,1996,16,0,22,10,45.50%,145,14.5,1,5,36.4,63,6.6,0.6,9.1,1,FloyMa01
111,Lamar Thomas,MIA,26,WR,1996,9,3,23,10,43.50%,166,16.6,1,7,39.1,34,7.2,1.1,18.4,0,ThomLa00
112,Scott Miller,MIA,28,WR,1996,12,1,16,9,56.30%,116,12.9,0,6,43.8,22,7.3,0.8,9.7,0,MillSc00
113,Freddie Solomon,PHI,24,WR,1996,12,0,16,8,50.00%,125,15.6,0,6,50,23,7.8,0.7,10.4,0,SoloFr00
114,Russell Copeland,BUF,25,WR,1996,11,0,19,7,36.80%,85,12.1,0,4,26.3,31,4.5,0.6,7.7,2,CopeRu00
115,Charles Jordan,MIA,27,WR,1996,6,0,13,7,53.80%,152,21.7,0,7,53.8,43,11.7,1.2,25.3,0,JordCh00
116,Ernie Mills,PIT,28,WR,1996,9,3,21,7,33.30%,92,13.1,1,4,23.8,22,4.4,0.8,10.2,0,MillEr00
117,Freddie Scott,ATL,22,WR,1996,10,0,10,7,70.00%,80,11.4,0,5,60,27,8,0.7,8,0,ScotFr00
118,J.T. Thomas,STL,25,WR,1996,16,1,22,7,31.80%,46,6.6,0,0,0,11,2.1,0.4,2.9,1,ThomJ.00
119,Iheanyi Uwaezuoke,SFO,23,WR,1996,14,0,13,7,53.80%,91,13,1,5,38.5,29,7,0.5,6.5,0,UwaeIh00
120,Jahine Arnold,PIT,23,WR,1996,9,0,17,6,35.30%,76,12.7,0,3,23.5,26,4.5,0.7,8.4,1,ArnoJa00
121,Derrick Mayes,GNB,22,WR,1996,7,0,9,6,66.70%,46,7.7,2,4,66.7,12,5.1,0.9,6.6,0,MayeDe00
122,David Palmer,MIN,24,WR,1996,11,1,11,6,54.50%,40,6.7,0,3,27.3,20,3.6,0.5,3.6,3,PalmDa00
123,Bryan Still,SDG,22,WR,1996,16,0,19,6,31.60%,142,23.7,0,3,31.6,56,7.5,0.4,8.9,2,StilBr00
124,Henry Bailey,NYJ,23,WR,1996,8,0,8,5,62.50%,65,13,0,2,37.5,28,8.1,0.6,8.1,0,BailHe00
125,Chris Brantley,BUF,26,WR,1996,10,0,8,5,62.50%,47,9.4,1,3,50,22,5.9,0.5,4.7,0,BranCh00
126,Lake Dawson,KAN,24,WR,1996,4,0,10,5,50.00%,83,16.6,1,5,50,25,8.3,1.3,20.8,0,DawsLa01
127,Hason Graham,NWE,25,WR,1996,9,0,11,5,45.50%,64,12.8,0,3,36.4,23,5.8,0.6,7.1,0,GrahHa00
128,Jermaine Lewis,BAL,22,WR,1996,16,1,12,5,41.70%,78,15.6,1,5,41.7,24,6.5,0.3,4.9,4,LewiJe00
129,Kevin Alexander,NYG,21,WR,1996,4,0,10,4,40.00%,88,22,0,3,30,35,8.8,1,22,0,AlexKe00
130,Stevie Anderson,ARI,26,WR,1996,8,0,9,4,44.40%,64,16,0,2,33.3,19,7.1,0.5,8,0,AndeSt00
131,Mercury Hayes,NOR,23,WR,1996,7,0,10,4,40.00%,101,25.3,0,4,40,50,10.1,0.6,14.4,1,HayeMe21
132,Jack Jackson,CHI,24,WR,1996,12,0,10,4,40.00%,39,9.8,0,1,30,14,3.9,0.3,3.3,2,JackJa20
133,Chris Walsh,MIN,28,WR,1996,15,0,9,4,44.40%,39,9.8,1,3,44.4,17,4.3,0.3,2.6,0,WalsCh00
134,'Omar Ellison,SDG,25,WR,1996,10,1,11,3,27.30%,15,5,0,0,0,6,1.4,0.3,1.5,0,ElliOm20
135,Aubrey Matthews,DET,34,WR,1996,16,0,10,3,30.00%,41,13.7,0,2,30,21,4.1,0.2,2.6,0,MattAu00
136,Will Moore,NWE,26,WR,1996,2,1,5,3,60.00%,37,12.3,0,0,0,16,7.4,1.5,18.5,0,MoorWi00
137,Kenny Shedd,OAK,25,WR,1996,16,1,11,3,27.30%,87,29,1,3,27.3,51,7.9,0.2,5.4,0,ShedKe00
138,Mike Caldwell,SFO,25,WR,1996,1,0,3,2,66.70%,9,4.5,0,1,33.3,8,3,2,9,0,CaldMi21
139,Ray Ethridge,BAL,28,WR,1996,14,1,6,2,33.30%,24,12,0,2,33.3,15,4,0.1,1.7,0,EthrRa20
140,Terry Guess,NOR,22,WR,1996,3,2,7,2,28.60%,69,34.5,1,2,28.6,57,9.9,0.7,23,0,GuesTe00
141,Ronnie Harris,SEA,26,WR,1996,15,0,2,2,100.00%,26,13,0,1,50,21,13,0.1,1.7,0,HarrRo00
142,Joe Horn,KAN,24,WR,1996,9,0,9,2,22.20%,30,15,0,1,11.1,21,3.3,0.2,3.3,0,HornJo00
143,Mark Ingram,PHI,31,WR,1996,5,0,11,2,18.20%,33,16.5,0,2,18.2,20,3,0.4,6.6,0,IngrMa00
144,Marvin Marshall,TAM,24,WR,1996,5,0,2,2,100.00%,27,13.5,0,0,0,20,13.5,0.4,5.4,1,MarsMa20
145,Mark Stock,IND,30,WR,1996,14,0,4,2,50.00%,24,12,0,1,25,13,6,0.1,1.7,0,StocMa20
146,Sheddrick Wilson,HOU,23,WR,1996,11,0,3,2,66.70%,24,12,0,2,66.7,14,8,0.2,2.2,0,WilsSh00
147,Alexander Wright,STL,29,WR,1996,3,0,5,2,40.00%,24,12,0,2,40,13,4.8,0.7,8,0,WrigAl00
148,Victor Bailey,KAN,26,WR,1996,2,0,3,1,33.30%,12,12,0,1,33.3,12,4,0.5,6,0,BailVi00
149,Chris Doering,IND,23,WR,1996,1,0,1,1,100.00%,10,10,0,1,100,10,10,1,10,0,DoerCh00
150,Omar Douglas,NYG,24,WR,1996,4,0,1,1,100.00%,8,8,0,0,0,8,8,0.3,2,0,DougOm20
151,Corey Holliday,PIT,25,WR,1996,11,0,4,1,25.00%,7,7,0,1,25,7,1.8,0.1,0.6,0,HollCo20
152,James Hundon,CIN,25,WR,1996,5,0,7,1,14.30%,14,14,1,1,14.3,14,2,0.2,2.8,1,HundJa00
153,Dietrich Jells,NWE,24,WR,1996,7,1,5,1,20.00%,5,5,0,0,0,5,1,0.1,0.7,0,JellDi00
154,Todd Kinchen,DEN,27,WR,1996,7,0,1,1,100.00%,27,27,0,1,100,27,27,0.1,3.9,5,KincTo00
155,James McKnight,SEA,24,WR,1996,16,0,3,1,33.30%,73,73,0,1,33.3,73,24.3,0.1,4.6,0,McKnJa00
156,Nate Singleton,SFO,28,WR,1996,2,0,1,1,100.00%,11,11,0,1,100,11,11,0.5,5.5,0,SingNa00
157,Dwight Stone,CAR,32,WR,1996,16,0,3,1,33.30%,11,11,0,1,33.3,11,3.7,0.1,0.7,0,StonDw00
158,Amani Toomer,NYG,22,WR,1996,7,1,10,1,10.00%,12,12,0,1,10,12,1.2,0.1,1.7,1,ToomAm00
159,Stepfret Williams,DAL,23,WR,1996,5,0,1,1,100.00%,32,32,0,1,100,32,32,0.2,6.4,0,WillSt00
160,Reggie Barlow,JAX,23,WR,1996,7,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,BarlRe00
161,Vincent Brisby,NWE,25,WR,1996,3,0,4,0,0.00%,0,,0,0,0,0,0,0,0,,BrisVi00
162,Billy Davis,DAL,24,WR,1996,13,0,2,0,0.00%,0,,0,0,0,0,0,0,0,,DaviBi00
163,Jeff Hill,CIN,24,WR,1996,10,0,4,0,0.00%,0,,0,0,0,0,0,0,0,1,HillJe20
164,Patrick Jeffers,DEN,23,WR,1996,4,0,2,0,0.00%,0,,0,0,0,0,0,0,0,0,JeffPa00
165,Tim Brown,OAK,31,WR,1997,16,16,162,104,64.20%,1408,13.5,5,66,57.4,59,8.7,6.5,88,1,BrowTi00
166,Herman Moore,DET,28,WR,1997,16,16,170,104,61.20%,1293,12.4,8,63,53.5,79,7.6,6.5,80.8,0,MoorHe00
167,Rob Moore,ARI,29,WR,1997,16,16,208,97,46.60%,1584,16.3,8,68,41.3,47,7.6,6.1,99,0,MoorRo00
168,Cris Carter,MIN,32,WR,1997,16,16,158,89,56.30%,1069,12,13,55,48.7,43,6.8,5.6,66.8,3,CartCr00
169,Irving Fryar,PHI,35,WR,1997,16,16,153,86,56.20%,1316,15.3,6,63,50.3,72,8.6,5.4,82.3,1,FryaIr00
170,Keenan McCardell,JAX,27,WR,1997,16,16,129,85,65.90%,1164,13.7,5,56,58.1,60,9,5.3,72.8,0,McCaKe00
171,Jimmy Smith,JAX,28,WR,1997,16,16,152,82,53.90%,1324,16.1,4,63,47.4,75,8.7,5.1,82.8,1,SmitJi00
172,Antonio Freeman,GNB,25,WR,1997,16,16,137,81,59.10%,1243,15.3,12,62,55.5,58,9.1,5.1,77.7,1,FreeAn00
173,Johnnie Morton,DET,26,WR,1997,16,16,148,80,54.10%,1057,13.2,6,51,43.9,73,7.1,5,66.1,2,MortJo00
174,Yancey Thigpen,PIT,28,WR,1997,16,15,149,79,53.00%,1398,17.7,7,61,46.3,69,9.4,4.9,87.4,1,ThigYa00
175,O.J. McDuffie,MIA,28,WR,1997,16,16,118,76,64.40%,943,12.4,1,0,0,55,8,4.8,58.9,0,McDuO.00
176,Michael Irvin,DAL,31,WR,1997,16,16,157,75,47.80%,1180,15.7,9,59,44.6,55,7.5,4.7,73.8,0,IrviMi00
177,Frank Sanders,ARI,24,WR,1997,16,16,143,75,52.40%,1017,13.6,4,49,44.1,70,7.1,4.7,63.6,3,SandFr00
178,Marvin Harrison,IND,25,WR,1997,16,15,117,73,62.40%,866,11.9,6,46,55.6,44,7.4,4.6,54.1,2,HarrMa00
179,Joey Galloway,SEA,26,WR,1997,15,15,147,72,49.00%,1049,14.6,12,55,47.6,53,7.1,4.8,69.9,1,GallJo00
180,Andre Rison,KAN,30,WR,1997,16,16,151,72,47.70%,1092,15.2,7,53,43.7,45,7.2,4.5,68.3,0,RisoAn00
181,Keyshawn Johnson,NYJ,25,WR,1997,16,16,135,70,51.90%,963,13.8,5,49,47.4,39,7.1,4.4,60.2,0,JohnKe00
182,Rod Smith,DEN,27,WR,1997,16,16,131,70,53.40%,1180,16.9,12,52,47.3,78,9,4.4,73.8,3,SmitRo01
183,Michael Jackson,BAL,28,WR,1997,16,15,137,69,50.40%,918,13.3,4,43,43.1,54,6.7,4.3,57.4,2,JackMi00
184,Sean Dawkins,IND,26,WR,1997,14,12,111,68,61.30%,804,11.8,2,39,53.2,51,7.2,4.9,57.4,0,DawkSe00
185,Jake Reed,MIN,30,WR,1997,16,16,118,68,57.60%,1138,16.7,6,57,55.9,56,9.6,4.3,71.1,0,ReedJa00
186,Derrick Alexander,BAL,26,WR,1997,15,13,124,65,52.40%,1009,15.5,9,39,46.8,92,8.1,4.3,67.3,1,AlexDe00
187,Bert Emanuel,ATL,27,WR,1997,16,16,140,65,46.40%,991,15.2,9,48,40.7,56,7.1,4.1,61.9,2,EmanBe00
188,Mike Pritchard,SEA,28,WR,1997,16,15,115,64,55.70%,843,13.2,2,41,49.6,61,7.3,4,52.7,2,PritMi00
189,Tony Martin,SDG,32,WR,1997,16,16,146,63,43.20%,904,14.3,6,46,39.7,72,6.2,3.9,56.5,0,MartTo00
190,Terance Mathis,ATL,30,WR,1997,16,16,109,62,56.90%,802,12.9,6,40,53.2,49,7.4,3.9,50.1,0,MathTe00
191,Robert Brooks,GNB,27,WR,1997,15,15,118,60,50.80%,1010,16.8,7,43,46.6,48,8.6,4,67.3,0,BrooRo00
192,Quinn Early,BUF,32,WR,1997,16,16,122,60,49.20%,853,14.2,5,39,40.2,45,7,3.8,53.3,0,EarlQu00
